user_id,book_id,book_title,rating,timestamp
ana,7,One Hundred Years of Solitude,5,2025-10-18T02:07:59.680890
ana,14,The Book Thief,5,2025-10-18T02:13:39.276548
Ana,7,One Hundred Years of Solitude,4,2025-10-18T13:02:21.047731
Ana,8,Crime and Punishment,5,2025-10-18T14:59:00.676108
Ana,17,"Thinking, Fast and Slow",4,2025-10-18T14:58:20.567939
Ana,22,Animal Farm,2,2025-10-18T14:21:29.567655
teste,18,Sapiens: A Brief History of Humankind,5,2025-10-19T00:53:20.233655
teste,2,The Lord of the Rings: The Fellowship of the Ring,5,2025-10-19T01:07:38.829022
anon,5,The Hobbit,1,2025-10-19T19:32:40.997282
anon,16,Mindset: The New Psychology of Success,5,2025-10-19T19:33:07.732096
